CustomerID,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,IncomeGroup,CreditRating,,Occupation,MaritalStatus
3000006,57.49,483,37,23,0,532,51,8.3,0.3,55.3,46.3,56,1,1,MILMIL414,240,30,0,No,Yes,Yes,No,5,5-Low,,Other,No
3000018,55.23,570,72,0,0,38,0,9.7,0,106.3,14.7,57,1,1,NNYSYR315,434,56,0,No,No,No,No,6,1-Highest,,Professional,No
3000034,97.34,1039,50,420,0,198,23.3,12.7,0.3,213.9,103.3,55,1,1,MILMIL414,700,38,24,No,No,No,No,4,3-Good,,Crafts,Yes
3000070,35.59,153,30,16,0,30,7.3,2,0,33.1,8,59,3,2,SLCSLC801,48,46,0,Yes,Yes,Yes,Yes,4,1-Highest,,Other,No
3000074,55.27,1213,50,0,1.3,169,1,2.7,0,490.1,50.7,52,1,1,OKCTUL918,408,58,0,No,Yes,Yes,No,3,1-Highest,,Other,No
3000086,60.19,1424,56,0,0,-1134,-55.2,23.7,0,939.3,7.7,54,1,1,SEAPOR503,162,50,52,No,Yes,Yes,No,5,5-Low,,Other,Yes
3000098,25.49,300,25,1,0,-48,-0.5,2,0.3,77.5,6.3,52,2,2,SLCSLC801,752,0,0,No,No,No,No,6,3-Good,,Other,Yes
3000110,37.66,972,36,5,0,25,-1.7,4,0,244.6,20,58,1,1,PITHOM412,452,60,0,No,No,No,No,1,1-Highest,,Other,No
3000246,42.88,406,40,54,0,88,3.6,0.7,0,47.7,6.3,50,1,1,SANMCA210,901,50,48,Yes,Yes,Yes,No,5,4-Medium,,Professional,Yes
3000254,342.86,2961,140,1445,62.3,204,6.9,10,1.7,871.5,210.7,52,2,2,NSHNSH615,72,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3000258,54.96,244,52,0,0,15,2,0.7,0,48.8,13,54,1,1,KCYKCK913,37,54,80,No,Yes,Yes,No,6,1-Highest,,Professional,No
3000274,50.48,380,60,0,0,93,-0.5,4,0,76.2,21.7,56,1,1,DENDEN303,1698,46,48,Yes,Yes,Yes,No,6,1-Highest,,Professional,Yes
3000334,55.19,1088,70,13,0,109,15.6,5.3,0.7,335.1,11,54,2,2,OKCLRK501,233,58,52,No,Yes,Yes,No,7,1-Highest,,Professional,Yes
3000338,93.02,1348,75,5,1.9,-165,24.6,7.3,0,436.5,59.3,56,1,1,SANAUS512,10,32,36,No,Yes,Yes,No,7,1-Highest,,Other,Yes
3000342,97.59,1804,75,85,0,-343,20.9,13,0,742.4,133,50,1,1,NSHNSH615,175,24,0,No,No,No,No,4,3-Good,,Other,Unknown
3000366,40.71,365,35,1,0,-31,-2.5,1,0,99.9,9.3,50,1,1,KCYWIC316,675,32,32,Yes,Yes,Yes,No,5,3-Good,,Professional,Yes
3000370,72.81,1306,78,0,0,-462,-76.3,2,0,809.1,25.3,52,2,2,KCYKCM816,146,24,0,No,No,No,No,7,3-Good,,Professional,No
3000438,94.92,1656,75,26,0,-52,-7.3,11.3,0,197.9,42.7,52,1,1,DALSHR903,314,40,40,Yes,Yes,Yes,No,9,5-Low,,Other,Yes
3000450,30.26,25,30,0,0,-25,-0.3,0,0,1.6,0,50,1,1,NSHNSH615,1515,46,46,No,Yes,Yes,No,6,1-Highest,,Professional,No
3000470,125.47,1697,75,93,9.6,-167,-19.2,12.7,0,187.8,204.3,54,3,3,DALFTW817,133,28,0,No,No,No,No,2,3-Good,,Other,Yes
3000482,33.85,225,30,0,0,74,-2.5,0,0,156.6,3,54,1,1,NYCMAN917,1619,52,0,No,No,No,No,3,4-Medium,,Other,No
3000486,78.58,1356,75,5,0,-44,-2.6,0,0,0,0,56,2,1,MINMIN612,168,50,46,Yes,Yes,Yes,No,9,1-Highest,,Other,Yes
3000498,21.55,14,20,4,0,-14,-1.6,1.3,0,2.9,0,52,1,1,PHXTUC520,586,0,0,No,No,No,No,0,2-High,,Other,No
3000542,18,14,15,12,0,-7,-1.5,0,0,5.8,0,56,1,1,DALDAL214,234,54,52,No,Yes,Yes,No,7,2-High,,Professional,Yes
3000546,58.82,250,30,72,0,49,11.5,0.7,0,22.2,7.7,49,1,1,OMAOMA402,296,34,32,No,No,No,No,8,1-Highest,,Professional,Yes
3000566,157.76,1328,79,343,0.6,-128,-2.8,23,0.3,280.1,66.3,49,3,3,NYCQUE917,616,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3000594,79.28,426,75,0,0,-236,-3.3,3,0,130.5,26,55,1,1,SANSAN210,385,38,0,No,No,No,No,6,1-Highest,,Other,No
3000606,40.68,271,45,15,0.2,137,16.7,9.3,0.3,40.7,6,53,1,1,SANAUS512,57,42,38,Yes,No,No,No,7,1-Highest,,Other,Yes
3000610,79.18,725,75,0,0,15,-1.9,16.7,1,95.3,67.3,49,3,3,PHXTUC520,626,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3000630,56.02,557,50,60,0,49,-0.8,10.3,0,129.4,36,51,2,2,SANMCA210,740,58,58,No,Yes,Yes,No,9,1-Highest,,Retired,Yes
3000662,30.24,268,40,0,0,62,-0.2,1.3,0,76,7.3,53,1,1,DALDAL214,485,50,54,No,Yes,Yes,No,3,3-Good,,Clerical,No
3000666,41.79,147,44,8,0,-82,1.4,0.3,0,49.8,5,51,1,1,DALFTW817,185,54,52,No,Yes,Yes,No,6,1-Highest,,Other,Yes
3000686,61.5,796,50,110,0,-47,-2.9,2.3,0,282.3,72.7,49,2,2,SANSAN210,769,48,52,Yes,No,No,No,7,1-Highest,,Other,Yes
3000698,17.35,1,17,0,0,-1,-0.4,0,0,0,0,49,1,1,DENDEN303,1497,64,66,No,Yes,Yes,No,6,6-VeryLow,,Professional,Yes
3000702,109.47,2298,85,232,0,-130,-15.1,16.7,0,581.6,28.7,53,2,1,SANGEO512,153,38,42,No,No,No,No,6,3-Good,,Other,Yes
3000746,29.89,98,36,3,0,36,0.1,0.7,0,54.3,3.3,51,1,1,STLSTL314,94,60,58,No,Yes,Yes,No,7,1-Highest,,Clerical,Yes
3000754,111.94,2060,85,50,0,-754,-18.3,13.7,0,451.5,220,55,3,2,DALDAL214,409,36,34,Yes,No,No,No,1,2-High,,Other,No
3000758,105.7,636,53,54,1,-397,-35.8,1,0,286.6,36,55,2,2,SANSAN210,253,38,38,Yes,No,No,No,1,1-Highest,,Other,Yes
3000798,166.43,2746,83,186,0,-370,-28.4,4.3,0,475.6,378,51,2,2,SANMCA210,252,70,0,No,No,No,No,6,3-Good,,Other,No
3000846,90.74,1156,90,5,0,-4,3.1,15,0,411.4,58.3,51,2,1,PHXPHX602,506,34,30,Yes,No,No,No,4,3-Good,,Other,No
3000862,101.49,1728,75,49,2.2,320,-1.1,21,0,529.7,67,53,2,2,NSHNSH615,78,46,46,Yes,Yes,Yes,No,9,1-Highest,,Professional,Unknown
3000866,33.52,26,30,0,0,5,-0.3,0,0,11.8,0.7,49,1,1,OKCLRK501,670,NA,NA,No,No,No,No,0,6-VeryLow,,Other,Unknown
3000890,101.65,174,75,0,0,-78,23.9,0,0,14.8,10,51,1,1,DALDAL214,634,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3000934,52.06,352,53,16,0.1,483,27.8,3.3,0,26.1,11.7,53,1,1,SEAPOR503,278,30,24,No,No,No,No,1,3-Good,,Other,No
3000938,42.49,369,42,0,0,-6,0,2.3,0,80.7,19.7,53,3,3,INDIND317,477,48,48,Yes,Yes,Yes,No,9,1-Highest,,Other,Yes
3000970,114.46,2035,75,324,0,511,33.9,40,5,827.5,82.3,53,1,1,PHXPHX602,80,0,0,No,No,No,No,0,4-Medium,,Other,Unknown
3000994,103.5,586,79,64,0,-334,-25.5,3.7,0,191.9,12.7,49,1,1,DALFTW817,128,36,0,No,No,No,No,6,5-Low,,Other,No
3001010,29.99,18,30,0,0,-4,0,0,0,0.7,0,51,1,1,LOULOU502,1538,66,62,No,Yes,Yes,No,6,1-Highest,,Retired,Yes
3001034,37.06,372,40,22,0.2,74,14.2,6.7,0,71,52.3,51,3,1,SANAUS512,519,42,42,No,No,No,No,0,1-Highest,,Other,Yes
3001042,88.71,2215,85,36,4.7,374,-12.5,8.3,0,1283.1,82.7,53,1,1,OKCOKC405,693,56,30,No,Yes,Yes,No,6,3-Good,,Professional,Unknown
3001066,92.11,80,95,0,0,-62,-5.3,0,0,0,1.7,50,3,2,MINMIN612,358,60,54,No,No,No,No,5,3-Good,,Other,Unknown
3001118,30.27,326,30,0,0,-154,-0.3,4.3,0,152.5,21.7,48,1,1,DALDAL214,566,42,38,No,No,No,No,4,1-Highest,,Other,Yes
3001126,59.26,1175,52,45,0,-1173,-29.3,5.7,0,498.7,94.3,54,1,1,OKCOKC405,224,32,0,No,No,No,No,9,3-Good,,Other,No
3001138,81.73,678,75,0,0,180,-0.5,25.7,0,20.3,7,50,1,1,PHXTUC520,62,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3001142,32.78,44,32,0,0,-33,-0.3,0,0,7.3,2.7,48,2,2,DALDAL214,953,40,40,No,No,No,No,8,1-Highest,,Other,Unknown
3001158,30.73,41,30,0,0,-22,0.2,1.7,0,0.1,0.3,50,1,1,DENDEN303,647,54,52,Yes,Yes,Yes,No,9,1-Highest,,Professional,Yes
3001162,56.24,229,50,0,0,-93,0,0.3,0,50.5,6,54,1,1,DALFTW817,1144,42,26,Yes,No,No,No,5,1-Highest,,Other,Unknown
3001222,50.28,197,50,0,0,64,-0.1,2,0,24.6,7.7,50,2,2,NSHNSH615,308,56,54,No,Yes,Yes,No,3,1-Highest,,Other,No
3001278,19,7,19,0,0,-1,0,0.3,0,0,0,52,1,1,MIAMIA305,1206,60,0,No,No,No,No,6,1-Highest,,Other,Yes
3001290,129.92,1379,75,0,2.2,71,31.8,78.3,0.3,216.9,40.7,48,1,1,DALDAL214,35,0,0,No,No,No,No,0,4-Medium,,Other,Unknown
3001334,202.48,1542,60,505,0,-134,-9.6,7.7,0,598.7,51.3,48,4,4,NOLKEN504,11,36,0,No,Yes,Yes,No,4,1-Highest,,Other,No
3001362,112.67,2011,105,40,0,4,-16.7,11,0,585.8,223.7,54,1,1,STLSTL314,194,36,0,No,No,No,No,5,1-Highest,,Other,No
3001390,33.63,68,30,1,0,5,1.2,1.7,0.3,0.6,3.7,50,1,1,MILMIL414,74,30,34,No,Yes,Yes,No,6,1-Highest,,Other,Yes
3001430,102.62,1417,75,14,0,-20,-4.9,51.3,0,109.2,94,52,1,1,MIADFD954,429,34,40,No,Yes,Yes,No,9,1-Highest,,Other,No
3001466,40,184,40,0,0,17,0,0,0,76.7,12.3,50,1,1,DALDAL214,510,40,0,No,No,No,No,7,1-Highest,,Professional,No
3001478,80.65,966,75,0,2.6,-29,8.8,17,0,231.5,54.3,50,2,2,INDIND317,145,42,42,Yes,Yes,Yes,No,8,1-Highest,,Other,Yes
3001494,117.1,1077,67,152,0.2,-424,-51.9,26.7,1,464.8,80.3,50,1,1,PHXPHX602,103,32,26,No,No,No,No,7,2-High,,Other,Unknown
3001514,213.35,1471,118,228,0.5,79,-53.8,0,0,0,0,52,1,1,PHXPHX602,104,52,0,No,No,No,No,6,4-Medium,,Other,No
3001526,110.89,1314,75,0,1.4,77,-31.1,4.3,0.3,448.9,29.7,50,1,1,SANSAN210,174,42,40,Yes,Yes,Yes,No,8,1-Highest,,Professional,Yes
3001538,111.1,1936,75,51,0,-19,-8.5,6,1.3,524.8,35.3,50,1,1,DALDAL214,290,38,22,No,Yes,Yes,No,7,4-Medium,,Other,Unknown
3001558,57.39,392,42,42,1.5,-17,-13.2,0.3,0.3,88.1,7.3,50,1,1,SANSAN210,619,NA,NA,No,No,No,No,0,4-Medium,,Other,Unknown
3001582,76.21,863,50,204,0,78,7.2,7,0,240.6,37.7,50,3,3,PHIMER609,1511,40,36,Yes,Yes,Yes,No,5,3-Good,,Professional,Yes
3001614,60.34,392,30,74,0,-91,-7.8,2.3,0,52.8,33,48,1,1,SEASEA206,1179,56,0,No,No,No,No,6,1-Highest,,Other,No
3001622,122.78,2568,80,358,0,-131,-4.1,31.7,5,766.9,105,48,3,2,MIAHWD954,647,38,36,Yes,Yes,Yes,No,9,3-Good,,Other,Yes
3001626,32.57,92,25,22,0,28,3.3,0.3,0,14,2.7,48,2,2,OKCTUL918,403,NA,NA,No,No,No,No,0,6-VeryLow,,Other,Unknown
3001670,100.11,1115,75,45,3.8,-282,-13,6.3,0,358.5,28.7,50,2,1,PHXPHX602,243,42,40,Yes,Yes,Yes,No,8,1-Highest,,Professional,Yes
3001694,11.46,184,30,18,3.9,-52,-6.5,1,0,42,14,50,2,2,STLSTL314,410,50,0,No,No,No,No,3,1-Highest,,Self,No
3001698,89.01,1658,77,82,0,-46,-0.2,17,5,484.1,49,50,1,1,PHIPHI215,702,60,66,No,No,Yes,No,5,2-High,,Professional,No
3001734,43.78,290,50,0,1.6,-46,-1.9,2.3,0,84.7,4.3,48,2,1,SLCSLC801,430,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3001738,49.99,228,50,0,0,-122,0,0.3,0.3,97.8,5,52,2,2,SANSAN210,1554,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3001742,72.54,886,60,64,0,-346,-19.3,6.7,0,232.3,40,52,1,1,DALDAL214,402,0,0,No,No,No,No,0,6-VeryLow,,Other,Unknown
3001778,196.28,2134,100,473,0,-1528,-96.3,7.7,0,948.8,177.3,54,1,1,NSHNSH615,280,36,38,Yes,Yes,Yes,No,5,1-Highest,,Professional,Yes
3001806,55.95,386,50,33,0.1,-152,-7.7,6.3,0.3,48.2,9,52,2,1,SEAEVE425,541,56,44,No,No,No,No,9,1-Highest,,Professional,Yes
3001822,107.83,709,95,0,0.9,34,48.4,4,0,121.9,17.7,47,3,1,MINSTP612,35,0,0,No,No,No,No,9,3-Good,,Other,No
3001918,60.06,516,50,9,0,108,-0.1,2.7,0,67.3,18.3,49,1,1,INDIND317,423,50,0,No,Yes,Yes,No,7,6-VeryLow,,Other,Unknown
3001926,56.28,483,50,44,0,37,-2.3,6.3,0,50.3,3.3,51,1,1,PITHOM412,1548,0,0,No,No,No,No,0,4-Medium,,Other,Unknown
3001958,101.66,1361,95,0,0,-422,-8.4,22,0,213.3,58.7,51,1,1,NYCMAN917,155,32,0,No,No,No,No,8,4-Medium,,Crafts,No
3001994,161.08,1782,160,0,0,416,-11.1,5.3,0,429.1,90,47,2,1,SANSAN210,126,22,24,Yes,Yes,Yes,No,3,3-Good,,Other,Unknown
3002022,70.52,501,43,70,0,22,-20.5,3,0,160.8,15.7,53,1,1,MIAWPB561,92,32,32,No,No,No,No,2,1-Highest,,Other,Yes
3002030,72.12,618,43,53,0,331,23.5,5.7,8,156.2,8.3,53,1,1,PHIPHI215,421,34,0,Yes,No,No,No,3,5-Low,,Other,Yes
3002046,117.96,1455,75,160,0.6,-192,-38.7,11,0,663,44.7,47,1,1,NSHNSH615,103,42,42,No,No,No,No,6,3-Good,,Other,Yes
3002098,90.09,1732,75,105,0.8,10,-5.5,8.3,0.7,450.4,71.7,47,1,1,DALDAL214,530,40,0,Yes,Yes,Yes,No,7,1-Highest,,Professional,Yes
